Date,A,AA,ABC,ABCB,ACLS,ACNB,ADBE,ADP,AEG,AIR
2008-11-18,13.59084415435791,22.78043937683105,15.40999984741211,8.909400939941406,3.119999885559082,12.75,22.63999938964844,30.92186164855957,4.380000114440918,15.0
2008-11-19,12.61802577972412,19.60848045349121,14.80500030517578,7.781136035919189,2.559999942779541,12.75,21.6299991607666,29.947322845458984,3.829999923706055,12.880000114440918
2008-11-20,11.587983131408691,16.46055030822754,13.739999771118164,6.993295669555664,2.1600000858306885,12.75,20.75,28.208955764770508,3.509999990463257,12.119999885559082
2008-11-21,12.367668151855469,20.28132057189941,14.875,8.958032608032227,2.440000057220459,12.75,21.3799991607666,30.94820022583008,3.5,13.18000030517578
2008-11-24,13.311874389648438,21.987449645996094,14.885000228881836,8.802410125732422,2.400000095367432,12.75,21.729999542236328,32.89727783203125,4.150000095367432,14.710000038146973
2008-11-25,13.26895523071289,23.30909919738769,14.890000343322754,8.802410125732422,2.0,12.5,22.420000076293945,32.958736419677734,4.289999961853027,15.479999542236328
2008-11-26,13.369098663330078,25.183439254760746,15.369999885559082,9.181739807128906,2.359999895095825,12.5,23.350000381469727,35.27655792236328,4.639999866485596,16.06999969482422
2008-11-28,13.469242095947266,25.856279373168945,15.675000190734863,9.24009895324707,2.359999895095825,12.5,23.15999984741211,36.04916763305664,4.650000095367432,16.940000534057617
2008-12-01,12.346208572387695,22.37192916870117,14.9399995803833,9.133108139038086,2.0,12.510000228881836,21.0,33.10799026489258,4.159999847412109,14.850000381469728
2008-12-02,12.61802577972412,23.45327949523925,15.085000038146973,10.203014373779297,2.200000047683716,12.300000190734863,22.0,33.71378326416016,4.630000114440918,15.43000030517578
2008-12-03,13.018597602844238,22.323869705200195,15.350000381469728,10.806052207946776,2.200000047683716,12.300000190734863,22.540000915527344,33.8542594909668,4.800000190734863,15.640000343322754
2008-12-04,12.525035858154297,19.368179321289062,14.869999885559082,9.959854125976562,2.0799999237060547,12.300000190734863,20.440000534057617,32.06321334838867,5.019999980926514,14.729999542236328
2008-12-05,12.346208572387695,19.584449768066406,15.375,10.601797103881836,1.9600000381469729,12.300000190734863,21.65999984741211,33.00263214111328,5.28000020980835,15.300000190734863
2008-12-08,12.331902503967283,23.020740509033203,15.425000190734863,11.185382843017578,1.919999957084656,12.399999618530272,22.600000381469727,33.898155212402344,6.199999809265137,16.200000762939453
2008-12-09,12.825465202331545,22.948650360107425,15.300000190734863,9.75559902191162,2.0,12.199999809265137,22.88999938964844,34.345916748046875,6.550000190734863,15.75
2008-12-10,13.011445045471191,24.51059913635254,15.095000267028809,10.31000518798828,1.9600000381469729,12.199999809265137,23.440000534057617,33.80157852172852,7.369999885559082,16.229999542236328
2008-12-11,12.96852684020996,23.9819393157959,15.96500015258789,9.823683738708496,1.6399999856948853,12.149999618530272,22.190000534057617,32.76558303833008,6.550000190734863,14.949999809265137
2008-12-12,12.43919849395752,24.222240447998047,16.530000686645508,10.397542953491213,2.0,12.199999809265137,22.43000030517578,33.599647521972656,6.800000190734863,16.0
2008-12-15,11.78826904296875,23.813730239868164,16.565000534057617,10.066844940185549,1.919999957084656,12.550000190734863,21.36000061035156,32.89727783203125,6.420000076293945,15.399999618530272
2008-12-16,11.673819541931152,24.96717071533203,17.610000610351562,11.0394868850708,2.1600000858306885,12.300000190734863,22.31999969482422,33.292362213134766,7.139999866485596,14.989999771118164
2008-12-17,11.680973052978516,24.871049880981445,17.03499984741211,10.650429725646973,2.400000095367432,12.300000190734863,21.690000534057617,32.70412826538086,6.960000038146973,16.229999542236328
2008-12-18,11.645207405090332,23.477310180664062,17.094999313354492,10.776873588562012,2.0799999237060547,12.100000381469728,21.3799991607666,32.1685676574707,6.619999885559082,16.579999923706055
2008-12-19,11.645207405090332,23.30909919738769,17.200000762939453,11.13675022125244,2.759999990463257,12.5,22.1299991607666,33.01141357421875,6.78000020980835,17.020000457763672
2008-12-22,11.309012413024902,22.17968940734864,17.1200008392334,10.212740898132324,2.5199999809265137,12.5,21.11000061035156,33.1694450378418,6.480000019073486,17.100000381469727
2008-12-23,11.173104286193848,22.9967098236084,17.06999969482422,9.9793062210083,2.5199999809265137,12.5,20.96999931335449,33.178226470947266,6.579999923706055,16.420000076293945
2008-12-24,11.144492149353027,22.564170837402344,17.020000457763672,10.397542953491213,2.640000104904175,12.5,21.1299991607666,33.5118522644043,6.400000095367432,16.59000015258789
2008-12-26,11.051502227783203,23.501340866088867,17.204999923706055,10.203014373779297,2.5199999809265137,12.100000381469728,21.07999992370605,33.48551177978516,6.519999980926514,16.989999771118164
2008-12-29,10.722460746765137,23.38118934631348,17.135000228881836,9.72641944885254,2.400000095367432,12.100000381469728,20.520000457763672,33.43283462524414,6.090000152587891,16.829999923706055
2008-12-30,10.643776893615724,25.68807029724121,17.69499969482422,10.494807243347168,2.400000095367432,12.050000190734863,21.049999237060547,34.354698181152344,6.510000228881836,17.690000534057617
2008-12-31,11.180257797241213,27.05777931213379,17.829999923706055,11.52580738067627,2.039999961853028,12.399999618530272,21.290000915527344,34.53907012939453,6.050000190734863,18.40999984741211
2009-01-02,11.616595268249512,29.100330352783203,17.78499984741211,11.156203269958496,2.440000057220459,12.479999542236328,23.020000457763672,35.47848892211914,6.5,17.940000534057617
2009-01-05,12.010014533996582,28.49958038330078,18.125,11.409090042114258,2.759999990463257,12.479999542236328,23.1299991607666,35.118526458740234,6.829999923706055,17.469999313354492
2009-01-06,12.96852684020996,29.12435913085937,18.05500030517578,11.029760360717772,2.680000066757202,11.800000190734863,24.21999931335449,35.829673767089844,7.210000038146973,18.25
2009-01-07,13.040057182312012,26.168670654296875,17.954999923706055,10.79632568359375,2.400000095367432,11.899999618530272,24.229999542236328,35.2150993347168,6.96999979019165,17.81999969482422
2009-01-08,13.125894546508787,27.298080444335938,18.36000061035156,10.942222595214844,2.640000104904175,11.899999618530272,24.290000915527344,35.654083251953125,7.099999904632568,17.579999923706055
2009-01-09,13.247496604919434,25.976430892944336,17.96500015258789,10.426721572875977,2.720000028610229,11.75,24.01000022888184,33.898155212402344,7.150000095367432,16.559999465942383
2009-01-12,13.247496604919434,24.17417907714844,17.93000030517578,9.891768455505373,2.5199999809265137,12.0,23.76000022888184,33.8542594909668,6.849999904632568,17.329999923706055
2009-01-13,13.63376235961914,22.948650360107425,18.03499984741211,9.96958065032959,2.5199999809265137,12.0,22.100000381469727,34.17032623291016,6.409999847412109,17.389999389648438
2009-01-14,13.19742488861084,21.69908905029297,18.100000381469727,9.24009895324707,2.440000057220459,11.5,21.11000061035156,33.30992126464844,5.699999809265137,16.760000228881836
2009-01-15,13.676680564880373,22.51610946655273,18.424999237060547,9.765325546264648,2.119999885559082,11.5,20.82999992370605,34.39859390258789,5.400000095367432,16.899999618530273
2009-01-16,13.95565128326416,22.660289764404297,18.70499992370605,9.405447959899902,1.7200000286102295,11.5,21.059999465942383,34.60930633544922,5.53000020980835,17.559999465942383
2009-01-20,13.26895523071289,20.06505012512207,18.295000076293945,7.469890594482422,1.399999976158142,11.100000381469728,19.38999938964844,33.046531677246094,4.670000076293945,17.049999237060547
2009-01-21,13.77682399749756,20.569679260253903,18.670000076293945,8.354994773864746,1.600000023841858,10.75,20.959999084472656,32.90605926513672,5.199999809265137,18.229999542236328
2009-01-22,13.519312858581545,19.824750900268555,18.770000457763672,7.810315132141113,1.2799999713897705,10.989999771118164,19.31999969482422,32.24758529663086,4.769999980926514,18.07999992370605
2009-01-23,13.333333015441896,20.016990661621094,18.03499984741211,7.567154407501221,1.1200000047683716,10.949999809265137,19.700000762939453,32.56365203857422,4.46999979019165,18.32999992370605
